2024-05-18 15:23:00,539 INFO    StreamThr :2176 [internal.py:wandb_internal():86] W&B internal server running at pid: 2176, started at: 2024-05-18 15:23:00.538456
2024-05-18 15:23:00,540 DEBUG   HandlerThread:2176 [handler.py:handle_request():146] handle_request: status
2024-05-18 15:23:00,543 INFO    WriterThread:2176 [datastore.py:open_for_write():85] open: C:\Users\ernst\Documents\02-Work\01-Projects\MANTRA\wandb\run-20240518_152300-1ipyqkrp\run-1ipyqkrp.wandb
2024-05-18 15:23:00,544 DEBUG   SenderThread:2176 [sender.py:send():380] send: header
2024-05-18 15:23:00,565 DEBUG   SenderThread:2176 [sender.py:send():380] send: run
2024-05-18 15:23:01,097 INFO    SenderThread:2176 [dir_watcher.py:__init__():211] watching files in: C:\Users\ernst\Documents\02-Work\01-Projects\MANTRA\wandb\run-20240518_152300-1ipyqkrp\files
2024-05-18 15:23:01,097 INFO    SenderThread:2176 [sender.py:_start_run_threads():1124] run started: 1ipyqkrp with start time 1716038580.538456
2024-05-18 15:23:01,104 DEBUG   HandlerThread:2176 [handler.py:handle_request():146] handle_request: check_version
2024-05-18 15:23:01,104 DEBUG   SenderThread:2176 [sender.py:send_request():407] send_request: check_version
2024-05-18 15:23:01,197 DEBUG   HandlerThread:2176 [handler.py:handle_request():146] handle_request: run_start
2024-05-18 15:23:01,242 DEBUG   HandlerThread:2176 [system_info.py:__init__():32] System info init
2024-05-18 15:23:01,242 DEBUG   HandlerThread:2176 [system_info.py:__init__():47] System info init done
2024-05-18 15:23:01,242 INFO    HandlerThread:2176 [system_monitor.py:start():194] Starting system monitor
2024-05-18 15:23:01,243 INFO    SystemMonitor:2176 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-18 15:23:01,243 INFO    HandlerThread:2176 [system_monitor.py:probe():214] Collecting system info
2024-05-18 15:23:01,245 INFO    SystemMonitor:2176 [interfaces.py:start():190] Started cpu monitoring
2024-05-18 15:23:01,246 INFO    SystemMonitor:2176 [interfaces.py:start():190] Started disk monitoring
2024-05-18 15:23:01,246 INFO    SystemMonitor:2176 [interfaces.py:start():190] Started gpu monitoring
2024-05-18 15:23:01,250 INFO    SystemMonitor:2176 [interfaces.py:start():190] Started memory monitoring
2024-05-18 15:23:01,257 INFO    SystemMonitor:2176 [interfaces.py:start():190] Started network monitoring
2024-05-18 15:23:01,260 DEBUG   HandlerThread:2176 [system_info.py:probe():196] Probing system
2024-05-18 15:23:01,261 DEBUG   HandlerThread:2176 [system_info.py:_probe_git():181] Probing git
2024-05-18 15:23:01,322 DEBUG   HandlerThread:2176 [system_info.py:_probe_git():189] Probing git done
2024-05-18 15:23:01,322 DEBUG   HandlerThread:2176 [system_info.py:probe():244] Probing system done
